"reference_id","section","title","original_url","canonical_url","catalog_ids","link_status","disposition","note"
"R2REF-013","Community and State-Specific Strategies and Examples","Funding and Economic Development","https://youtu.be/BSquMY-Kde4","https://www.youtube.com/watch?v=BSquMY-Kde4&feature=youtu.be","RERC-RES-R2-013","Active - redirected","same source",""
"R2REF-014","Community and State-Specific Strategies and Examples","Funding and Economic Development","https://youtu.be/StUz6s2J8pc","https://www.youtube.com/watch?v=StUz6s2J8pc&feature=youtu.be","RERC-RES-R2-014","Active - redirected","same source",""
"R2REF-015","Community and State-Specific Strategies and Examples","Skowhegan, Maine","https://runofriver.org/outdoor-recreation-plan/","https://runofriver.org/outdoor-recreation-plan/","RERC-RES-R2-015","Active","same source",""
"R2REF-016","Community and State-Specific Strategies and Examples","Skowhegan, Maine","https://mainstreetskowhegan.org/strategic-planning/","https://mainstreetskowhegan.org/strategic-planning/","RERC-RES-R2-016","Active","same source",""
"R2REF-017","Community and State-Specific Strategies and Examples","State of Colorado","https://cpw.state.co.us/Documents/Trails/SCORP/Final-Plan/SCORP-Without-Appendices.pdf","https://cpw.state.co.us/conservation-plans","RERC-RES-R2-017","Inactive","verified successor",""
"R2REF-018","Community and State-Specific Strategies and Examples","The Conservation Fund","https://www.conservationfund.org/our-work/conservation-leadership-network/our-projects","https://www.conservationfund.org/our-impact/projects/","RERC-RES-R2-018","Inactive","verified successor",""
"R2REF-019","Community and State-Specific Strategies and Examples","Tompkins County, New York","https://www2.tompkinscountyny.gov/files2/tourism/2018-April-Outdoor%20Rec%20Implementation%20Plan.pdf","https://www.tompkinscountyny.gov/All-Departments/Planning-and-Sustainability/Tourism/Tourism-Plans","RERC-RES-R2-019","Needs manual review","verified successor",""
"R2REF-020","Community and State-Specific Strategies and Examples","Vermont Urban and Community Forestry","https://vtcommunityforestry.org/places/town-forests/recreation-planning-initiative/recreation-planning-toolkit","https://vtcommunityforestry.org/projects/town-forests/town-forest-recreation-planning-toolkit","RERC-RES-R2-020","Active - redirected","same source",""
"R2REF-021","Community and State-Specific Strategies and Examples","New Tools for Sustainable Forest Based Recreation Webinar","https://youtu.be/UTHEj0AC3pE","https://www.youtube.com/watch?v=UTHEj0AC3pE&feature=youtu.be","RERC-RES-R2-021","Active - redirected","same source",""
"R2REF-022","Community and State-Specific Strategies and Examples","Connecting Downtowns w/Trails for Economic Vibrancy Webinar","https://youtu.be/s1SQoUqN22s","https://www.youtube.com/watch?v=s1SQoUqN22s&feature=youtu.be","RERC-RES-R2-022","Active - redirected","same source",""
"R2REF-023","Community and State-Specific Strategies and Examples","Trails for People and Wildlife Webinar","https://youtu.be/uhbYUMrgLqU","https://www.youtube.com/watch?v=uhbYUMrgLqU&feature=youtu.be","RERC-RES-R2-023","Active - redirected","same source",""
"R2REF-024","Community and State-Specific Strategies and Examples","Mountain Biking Trails 101 Webinar","https://youtu.be/zCmco-WDrPM","https://www.youtube.com/watch?v=zCmco-WDrPM&feature=youtu.be","RERC-RES-R2-024","Active - redirected","same source",""
"R2REF-025","Community and State-Specific Strategies and Examples","Trail Building & Maintenance Webinar","https://youtu.be/Irv9eqoUQNE","https://www.youtube.com/watch?v=Irv9eqoUQNE&feature=youtu.be","RERC-RES-R2-025","Active - redirected","same source",""
"R2REF-026","Land Conservation, Stewardship, Parks, and Health","National Park Service and Centers for Disease Control and Prevention","https://www.nps.gov/orgs/rtca/upload/Parks-Trails-and-Health-Workbook_2020.pdf","https://www.nps.gov/orgs/rtca/upload/Parks-Trails-and-Health-Workbook_2020.pdf","RERC-RES-R2-026","Active","same source",""
"R2REF-027","Land Conservation, Stewardship, Parks, and Health","The Trust for Public Land and the City Parks Alliance","https://www.tpl.org/field-guide-creative-placemaking-and-parks","https://www.tpl.org/resource/field-guide-creative-placemaking-and-parks","RERC-RES-R2-027","Manual review - publisher restricted","verified successor",""
"R2REF-028","Land Conservation, Stewardship, Parks, and Health","U.S","https://www.fs.usda.gov/nrs/pubs/gtr/gtr_nrs156.pdf","https://www.fs.usda.gov/nrs/pubs/gtr/gtr_nrs156.pdf","RERC-RES-R2-028","Active","same source",""
"R2REF-029","Main Street Revitalization and Economic Development","International City/County Management Association and Smart Growth Network","https://www.epa.gov/smartgrowth/putting-smart-growth-work-rural-communities","https://www.epa.gov/smartgrowth/putting-smart-growth-work-rural-communities","RERC-RES-R2-029","Active","same source",""
"R2REF-030","Main Street Revitalization and Economic Development","Main Street America Resource Center","https://www.mainstreet.org/howwecanhelp/resourcecenter","https://mainstreet.org/resources","RERC-RES-R2-030","Active - redirected","same source",""
"R2REF-031","Main Street Revitalization and Economic Development","McMahon, Ed","https://www.vml.org/wp-content/uploads/pdf/VTCJanFeb17_pg21-25.pdf","https://www.vml.org/wp-content/uploads/pdf/VTCJanFeb17_pg21-25.pdf","RERC-RES-R2-031","Active","same source",""
"R2REF-032","Main Street Revitalization and Economic Development","National Association of Counties (NACo)","http://diversifyeconomies.org/","https://diversifyeconomies.org/","RERC-RES-R2-032","Active - redirected","same source",""
"R2REF-033","Main Street Revitalization and Economic Development","National Association of Development Organizations (NADO)","https://www.nado.org/online-resource-planning-for-prosperity-in-small-towns-and-rural-regions/","https://www.nado.org/online-resource-planning-for-prosperity-in-small-towns-and-rural-regions/","RERC-RES-R2-033","Active","same source",""
"R2REF-034","Main Street Revitalization and Economic Development","National Association of Development Organizations, WealthWorks Rural Economic Development Case Studies","https://www.nado.org/wealthworks-case-studies/","https://www.nado.org/wealthworks-case-studies/","RERC-RES-R2-034","Active","same source",""
"R2REF-035","Main Street Revitalization and Economic Development","National Endowment for the Arts","https://www.arts.gov/publications/how-do-creative-placemaking","https://www.arts.gov/about/publications/how-do-creative-placemaking","RERC-RES-R2-035","Active - redirected","same source",""
"R2REF-036","Main Street Revitalization and Economic Development","Project for Public Spaces (PPS)","https://www.pps.org/article/the-power-of-10","https://www.pps.org/article/the-power-of-10","RERC-RES-R2-036","Active","same source",""
"R2REF-037","Main Street Revitalization and Economic Development","Smart Growth America","https://smartgrowthamerica.org/introducing-rebuilding-downtown-a-guidebook-for-revitalization/","https://www.smartgrowthamerica.org/knowledge-hub/news/introducing-rebuilding-downtown-a-guidebook-for-revitalization/","RERC-RES-R2-037","Active - redirected","same source",""
"R2REF-038","Main Street Revitalization and Economic Development","The Democracy Collaborative","https://democracycollaborative.org/programs/cwb","https://www.democracycollaborative.org/community-wealth-building","RERC-RES-R2-038","Inactive","verified successor",""
"R2REF-039","Main Street Revitalization and Economic Development","U.S","https://www.nal.usda.gov/ric/community-development-resources","https://www.nal.usda.gov/rural-development-communities","RERC-RES-R2-039","Active - redirected","same source",""
"R2REF-040","Main Street Revitalization and Economic Development","U.S","https://www.nal.usda.gov/ric/downtown-revitalization","https://www.nal.usda.gov/rural-development-communities/downtown-revitalization","RERC-RES-R2-040","Active - redirected","same source",""
"R2REF-041","Main Street Revitalization and Economic Development","U.S","https://www.ruralplacemaking.com/","https://www.ruralplacemaking.com/","RERC-RES-R2-041","Active","same source",""
"R2REF-042","Main Street Revitalization and Economic Development","U.S","https://www.eda.gov/grant-resources/tools","https://www.eda.gov/resources/tools","RERC-RES-R2-042","Manual review - publisher restricted","verified successor",""
"R2REF-043","Main Street Revitalization and Economic Development","U.S","https://www.epa.gov/smartgrowth/essential-smart-growth-fixes-communities","https://www.epa.gov/smartgrowth/essential-smart-growth-fixes-communities","RERC-RES-R2-043","Active","same source",""
"R2REF-044","Main Street Revitalization and Economic Development","U.S","https://www.epa.gov/smartgrowth/framework-creating-smart-growth-economic-development-strategy","https://www.epa.gov/smartgrowth/framework-creating-smart-growth-economic-development-strategy","RERC-RES-R2-044","Active","same source",""
"R2REF-045","Main Street Revitalization and Economic Development","U.S","https://www.epa.gov/smartgrowth/smart-growth-self-assessment-rural-communities","https://www.epa.gov/smartgrowth/smart-growth-self-assessment-rural-communities","RERC-RES-R2-045","Active","same source",""
"R2REF-046","Outdoor Recreation","Aspen Institute Community Strategies Group, Growing Rural Equitable Outdoor Recreation Economies","https://www.aspencsg.org/growing-rural-equitable-outdoor-recreation-economies/","https://www.aspencsg.org/learning-to-grow-equitable-outdoor-recreation-economies/","RERC-RES-R2-046","Active - redirected","same source",""
"R2REF-047","Outdoor Recreation","Bureau of Economic Analysis, Outdoor Recreation Satellite Account","https://www.bea.gov/data/special-topics/outdoor-recreation","https://www.bea.gov/data/special-topics/outdoor-recreation","RERC-RES-R2-047","Active","same source",""
"R2REF-048","Outdoor Recreation","How Outdoor Recreation Supports Rural Economic Development","https://www.dailyyonder.com/speak-piece-outdoor-recreation-supports-rural-economic-development/2019/02/25/","https://dailyyonder.com/speak-piece-outdoor-recreation-supports-rural-economic-development/2019/02/25/","RERC-RES-R2-048","Active - redirected","same source",""
"R2REF-049","Outdoor Recreation","Recreation Is Bigger Share of U.S","https://www.dailyyonder.com/recreation-bigger-share-u-s-economy-ag-mining-report-says/2018/05/10/","https://dailyyonder.com/recreation-bigger-share-u-s-economy-ag-mining-report-says/2018/05/10/","RERC-RES-R2-049","Active - redirected","same source",""
"R2REF-050","Outdoor Recreation","Rural â€œRecreation Countiesâ€ Show More Population Resilience","https://www.dailyyonder.com/rural-recreation-counties-show-population-resilience/2019/02/11/","https://dailyyonder.com/rural-recreation-counties-show-population-resilience/2019/02/11/","RERC-RES-R2-050","Active - redirected","same source",""
"R2REF-051","Outdoor Recreation","Headwater Economics","https://headwaterseconomics.org/outdoor-recreation/","https://headwaterseconomics.org/outdoor-recreation/","RERC-RES-R2-051","Active","same source",""
"R2REF-052","Outdoor Recreation","The Amenity Trap: How High-Amenity Communities Can Avoid Being Loved to Death","https://headwaterseconomics.org/outdoor-recreation/amenity-trap/","https://headwaterseconomics.org/outdoor-recreation/amenity-trap/","RERC-RES-R2-052","Active","same source",""
"R2REF-053","Outdoor Recreation","Best Practices for States to Fund Outdoor Recreation","https://headwaterseconomics.org/economic-development/state-recreation-funding/","https://headwaterseconomics.org/economic-development/state-recreation-funding/","RERC-RES-R2-053","Active","same source",""
"R2REF-054","Outdoor Recreation","Economic Profile System","https://headwaterseconomics.org/tools/economic-profile-system/about/","https://headwaterseconomics.org/tools/economic-profile-system/about-eps/","RERC-RES-R2-054","Active - redirected","same source",""
"R2REF-055","Outdoor Recreation","How Outdoor Recreation Supports Rural Economic Development","https://headwaterseconomics.org/economic-development/trends-performance/outdoor-recreation/","https://headwaterseconomics.org/economic-development/trends-performance/outdoor-recreation/","RERC-RES-R2-055","Active","same source",""
"R2REF-056","Outdoor Recreation","National Forest Socioeconomic Indicators Tool","https://headwaterseconomics.org/tools/forest-indicators/","https://apps.headwaterseconomics.org/eps-usfs","RERC-RES-R2-056","Active - redirected","same source",""
"R2REF-057","Outdoor Recreation","The Outdoor Recreation Economy by State","https://headwaterseconomics.org/economic-development/trends-performance/outdoor-recreation-economy-by-state/","https://headwaterseconomics.org/economic-development/trends-performance/outdoor-recreation-economy-by-state/","RERC-RES-R2-057","Active","same source",""
"R2REF-058","Outdoor Recreation","National Governorsâ€™ Association","http://nga.org/outdoors","https://www.nga.org/issues/outdoor-recreation/","RERC-RES-R2-058","Active - redirected","same source",""
"R2REF-059","Outdoor Recreation","National Park Service, River Access Planning Guide","https://www.nps.gov/articles/river-access-planning-guide-a-decision-making-framework-for-enhancing-river-access.htm","https://www.nps.gov/articles/river-access-planning-guide-a-decision-making-framework-for-enhancing-river-access.htm","RERC-RES-R2-059","Active","same source",""
"R2REF-060","Outdoor Recreation","Northern Forest Center","https://northernforest.org/recreation-symposium/","https://northernforest.org/recreation-symposium/","RERC-RES-R2-060","Active","same source",""
"R2REF-061","Outdoor Recreation","Outdoor Industry Association (OIA)","https://outdoorindustry.org/","https://outdoorindustry.org/","RERC-RES-R2-061","Active","same source",""
"R2REF-062","Outdoor Recreation","Outdoor Participation Report","https://outdoorindustry.org/resource/2023-outdoor-participation-trends-report/","https://outdoorindustry.org/resource/2024-outdoor-retail-trends-report/","RERC-RES-R2-062","Active - redirected","same source",""
"R2REF-063","Outdoor Recreation","State Funding Mechanisms for Outdoor Recreation","https://outdoorindustry.org/wp-content/uploads/2017/08/Headwaters-Economics-v4-Screen.pdf","https://outdoorindustry.org/wp-content/uploads/2017/08/Headwaters-Economics-v4-Screen.pdf","RERC-RES-R2-063","Active","same source",""
"R2REF-064","Outdoor Recreation","State-Level Outdoor Recreation Reports","https://outdoorindustry.org/advocacy/","https://outdoorindustry.org/advocacy/","RERC-RES-R2-064","Active","same source",""
"R2REF-065","Outdoor Recreation","The Outdoor Recreation Economy","https://outdoorindustry.org/wp-content/uploads/2017/04/OIA_RecEconomy_FINAL_Single.pdf","https://outdoorindustry.org/wp-content/uploads/2017/04/OIA_RecEconomy_FINAL_Single.pdf","RERC-RES-R2-065","Active","same source",""
"R2REF-066","Outdoor Recreation","White Paper on State Leadership Roles for Outdoor Recreation","https://industry.traveloregon.com/wp-content/uploads/2016/08/Outdoor-Industry-Association-White-Paper-on-State-Leadership-Roles-for-Outdoor-Recreation.pdf","https://industry.traveloregon.com/wp-content/uploads/2016/08/Outdoor-Industry-Association-White-Paper-on-State-Leadership-Roles-for-Outdoor-Recreation.pdf","RERC-RES-R2-066","Active","same source",""
"R2REF-067","Outdoor Recreation","Outdoor Recreation Roundtable (ORR)","https://recreationroundtable.org/","https://recreationroundtable.org/","RERC-RES-R2-067","Active","same source",""
"R2REF-068","Outdoor Recreation","Outdoor Career Path Module","https://osucore.s3.us-west-2.amazonaws.com/orr-workforce-profiles-2022/story.html","https://osucore.s3.us-west-2.amazonaws.com/orr-workforce-profiles-2022/story.html","RERC-RES-R2-068","Active","same source",""
"R2REF-069","Outdoor Recreation","Outdoor Rec Drives Jobs: Careers in the Recreation Economy","https://recreationroundtable.org/wp-content/uploads/2023/02/Workforce-Report.pdf","https://recreationroundtable.org/wp-content/uploads/2023/02/Workforce-Report.pdf","RERC-RES-R2-069","Active","same source",""
"R2REF-070","Outdoor Recreation","Outdoor Recreation Drives the American Economy","https://recreationroundtable.org/resources/national-recreation-data/","https://recreationroundtable.org/resources/national-recreation-data/","RERC-RES-R2-070","Active","same source",""
"R2REF-071","Outdoor Recreation","Outdoor Recreation Drives the American Economy","https://recreationroundtable.org/resources/state-recreation-data/","https://recreationroundtable.org/resources/state-recreation-data/","RERC-RES-R2-071","Active","same source",""
"R2REF-072","Outdoor Recreation","The Outdoor Recreation Roundtable Rural Economic Development Toolkit","https://recreationroundtable.org/rural-development-toolkit/","https://recreationroundtable.org/programs/rural-development/","RERC-RES-R2-072","Active - redirected","same source",""
"R2REF-073","Outdoor Recreation","Work in the Outdoors: Resources to Support the Outdoor Workforce and Career Paths in the Rec Economy (2022)","https://www.youtube.com/watch?v=UOYCPtKIJkk","https://www.youtube.com/watch?v=UOYCPtKIJkk","RERC-RES-R2-073","Active","same source",""
"R2REF-074","Outdoor Recreation","Sausser, Brooke and Jordan W","https://www.nps.gov/orgs/1892/upload/Elevating_Outdoor_Rec_Together.pdf","https://digitalcommons.usu.edu/extension_curall/1897/","RERC-RES-R2-074","Inactive","verified successor",""
"R2REF-075","Outdoor Recreation","Society of Outdoor Recreation Professionals (SORP)","https://www.recpro.org/","https://www.recpro.org/","RERC-RES-R2-075","Active","same source",""
"R2REF-076","Outdoor Recreation","U.S","https://www.fs.usda.gov/treesearch/pubs/53247","https://research.fs.usda.gov/treesearch/53247","RERC-RES-R2-076","Inactive","verified successor",""
"R2REF-077","Outdoor Recreation","U.S","https://www.rd.usda.gov/sites/default/files/usdard_recreational_economy508.pdf","https://www.rd.usda.gov/sites/default/files/usdard_recreational_economy508.pdf","RERC-RES-R2-077","Manual review - publisher restricted","verified successor",""
"R2REF-078","Outdoor Recreation","U.S","https://www.fs.usda.gov/research/treesearch/54602","https://research.fs.usda.gov/treesearch/54602","RERC-RES-R2-078","Active - redirected","same source",""
"R2REF-079","Outdoor Recreation","Utah State University","https://www.usu.edu/gnar/toolkit","https://extension.usu.edu/gnar/tools/","RERC-RES-R2-079","Active - redirected","same source",""
"R2REF-080","Trails and Transportation","American Trails","https://www.americantrails.org/resource-library/","https://www.americantrails.org/resource-library","RERC-RES-R2-080","Manual review - publisher restricted","verified successor",""
"R2REF-081","Trails and Transportation","Centers for Disease Control and Prevention","https://www.cdc.gov/physicalactivity/community-strategies/activity-friendly-routes-to-everyday-destinations.html","https://www.cdc.gov/physical-activity/php/community-design-visual-guide/index.html","RERC-RES-R2-081","Manual review - publisher restricted","verified successor",""
"R2REF-082","Trails and Transportation","Federal Highway Administration","https://www.fhwa.dot.gov/environment/bicycle_pedestrian/","https://www.fhwa.dot.gov/environment/bicycle_pedestrian/","RERC-RES-R2-082","Active","same source",""
"R2REF-083","Trails and Transportation","Federal Highway Administration","https://www.fhwa.dot.gov/environment/bicycle_pedestrian/funding/funding_opportunities.pdf","https://www.fhwa.dot.gov/environment/bicycle_pedestrian/funding/funding_opportunities.pdf","RERC-RES-R2-083","Active","same source",""
"R2REF-084","Trails and Transportation","Federal Highway Administration","https://www.fhwa.dot.gov/environment/bicycle_pedestrian/publications/small_towns/fhwahep17024_lg.pdf","https://www.fhwa.dot.gov/environment/bicycle_pedestrian/publications/small_towns/fhwahep17024_lg.pdf","RERC-RES-R2-084","Active","same source",""
"R2REF-085","Trails and Transportation","Headwaters Economics","https://headwaterseconomics.org/economic-development/trails-pathways/trails-research/","https://headwaterseconomics.org/economic-development/trails-pathways/trails-research/","RERC-RES-R2-085","Active","same source",""
"R2REF-086","Trails and Transportation","Main Street America and Project for Public Places","https://www.mainstreet.org/howwecanhelp/navigatingmainstreets","https://mainstreet.org/resources/knowledge-hub/publication/navigating-main-streets","RERC-RES-R2-086","Active - redirected","same source",""
"R2REF-087","Trails and Transportation","Rails-to-Trails Conservancy","https://www.railstotrails.org/build-trails/trail-building-toolbox/","https://www.railstotrails.org/trail-building-toolbox/","RERC-RES-R2-087","Active - redirected","same source",""
"R2REF-088","Trails and Transportation","Rails-to-Trails Conservancy","https://www.railstotrails.org/build-trails/trail-building-toolbox/planning/trail-towns/","https://www.railstotrails.org/trail-building-toolbox/trail-towns/","RERC-RES-R2-088","Active - redirected","same source",""
"R2REF-089","Trails and Transportation","Sate Routes to School National Partnership","https://www.saferoutespartnership.org/blog/dollars-and-deadlines-state-state-look-transportation-alternatives-program","https://saferoutespartnership.org/dollars-and-deadlines-state-state-look-transportation-alternatives-program/","RERC-RES-R2-089","Active - redirected","same source",""
"R2REF-090","Trails and Transportation","Safe Routes to School National Partnership","https://www.saferoutespartnership.org/sites/default/files/get_to_know_your_neighborhood_with_a_walk_audit.pdf","https://www.saferoutespartnership.org/sites/default/files/get_to_know_your_neighborhood_with_a_walk_audit.pdf","RERC-RES-R2-090","Active","same source",""
"R2REF-091","Trails and Transportation","The Scenic Route","http://creativeplacemaking.t4america.org/?utm_source=Design+-+2016+Highlights&utm_campaign=Design+2016+Highlights+Newsletter&utm_medium=email","https://creativeplacemaking.t4america.org/our-eight-approaches/","RERC-RES-R2-091","Inactive","verified successor",""
