item_id,jurisdiction,category,status,deadline_or_availability,source_url,application_path,guardrail_fit,evidence_note
RERC-FND-2026-HMA-CONNECTICUT,Connecticut,Disaster Resilience,Portal accepts applications or letters of intent; cycle deadline not stated,Confirm the applicable cycle with DEMHS,https://portal.ct.gov/demhs/emergency-management/draft---recovery-and-hazard-mitigation-resilience-unit/disaster-recovery-and-hazard-mitigation-resilience-home/copy-of-hazard-mitigation-and-resiliency/copy-of-building-resilient-infrastructure-and-communities/copy-of-apply_bric,"State and local agencies, Tribes, and program-eligible nonprofits submit through DEMHS",Natural-hazard nexus required,Portal availability does not guarantee that every FEMA program has an open award cycle. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-DELAWARE,Delaware,Disaster Resilience,Current cycle uncertain,No current deadline posted,https://www.dema.delaware.gov/recovery/,Government officials and eligible entities coordinate directly with DEMA,Natural-hazard nexus required,"The page is a program gateway, not a current NOFO. Transportation work must have a documented natural-hazard mitigation purpose."
RERC-FND-2026-HMA-DISTRICT-OF-COLUMBIA,District of Columbia,Disaster Resilience,FY2024/25 BRIC round closed,Future project-idea and federal deadlines will be posted by HSEMA,https://hsema.dc.gov/page/building-resilient-infrastructure-and-communities-program,"DC agency partners submit ideas to HSEMA, which applies to FEMA",Natural-hazard nexus required,Individuals and businesses cannot apply directly. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-FLORIDA,Florida,Disaster Resilience,FY2026 notice-of-interest period closed,Closed 2026-08-14; future formal dates depend on FEMA and FDEM,https://www.floridadisaster.org/dem/mitigation/builing-resilient-infrastructure-and-communities-bric-grant-program/,"State agencies, Tribes, and local governments submit an NOI to FDEM before an invited FEMA GO subapplication",Natural-hazard nexus required,The state NOI deadline passed three days before this review. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-GEORGIA,Georgia,Disaster Resilience,Rolling preapplications,Rolling; federal cycles still control award timing,https://gema.georgia.gov/bric,Public agencies submit a GEMA/HS preapplication and invited applications proceed in FEMA GO,Natural-hazard nexus required,A preapplication is not an award guarantee. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-GUAM,Guam,Disaster Resilience,Disaster-triggered and recurring,Program-specific territorial notices,https://ghs.guam.gov/programs/hazard-mitigation-program,Government entities and eligible nonprofits coordinate through Guam HSOCD,Natural-hazard nexus required,Territorial prioritization and FEMA review apply. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-HAWAII,Hawaii,Disaster Resilience,Recurring and disaster-triggered,Program-specific state notices,https://dod.hawaii.gov/hiema/hazard-mitigation/,State and county agencies and qualifying nonprofits coordinate through HI-EMA,Natural-hazard nexus required,The umbrella page does not establish a single standing deadline. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-IDAHO,Idaho,Disaster Resilience,Disaster-triggered,State notices follow qualifying declarations,https://ioem.idaho.gov/grants/disaster-grants/hazard-mitigation-grant-program-hmgp/,"State and local governments, Tribes, and eligible nonprofits submit through IOEM",Natural-hazard nexus required,An approved mitigation plan and state selection are required. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-KENTUCKY,Kentucky,Disaster Resilience,Program active; current cycle uncertain,Declaration-specific or annual by program,https://www.kyem.ky.gov/recover-and-mitigate/disaster-mitigation,Communities work with KYEM and the State Hazard Mitigation Officer,Natural-hazard nexus required,The page offers program support but is not a current NOFO. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-LOUISIANA,Louisiana,Disaster Resilience,Program active; current cycle uncertain,Annual or declaration-specific,https://gohsep.la.gov/recovery/hazard-mitigation/,Eligible subapplicants submit through GOHSEP and use FEMA GO when directed,Natural-hazard nexus required,Historical notices must not be carried forward as current deadlines. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-MAINE,Maine,Disaster Resilience,FY2024/25 state rounds closed,BRIC closed 2026-06-18; FMA closed 2026-07-06,https://www.maine.gov/mema/grants/mitigation-grants,"Communities, counties, Tribes, and eligible entities submit through MEMA and FEMA GO",Natural-hazard nexus required,Monitor MEMA for the next cycle. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-MARYLAND,Maryland,Disaster Resilience,Program active; current deadline uncertain,Cycle- or disaster-specific,https://mdem.maryland.gov/community/Pages/LocalJurisdictionHazardMitigation.aspx,Local jurisdictions prepare applications with MDEM; households usually proceed through a locality,Natural-hazard nexus required,The page describes the route but not a current open deadline. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-MASSACHUSETTS,Massachusetts,Disaster Resilience,FY2024/25 BRIC round closed; rolling statements of interest accepted,BRIC closed 2026-06-08; statements of interest are rolling,https://www.mass.gov/hazard-mitigation-assistance-hma-grant-programs,"Eligible municipalities, state agencies, and other subapplicants file a MEMA Statement of Interest",Natural-hazard nexus required,"A rolling statement of interest is an eligibility screen, not an open award cycle. Transportation work must have a documented natural-hazard mitigation purpose."
RERC-FND-2026-HMA-MISSISSIPPI,Mississippi,Disaster Resilience,FY2024/25 BRIC round closed,Closed 2026-06-12,https://msema.org/about/about-mema/mitigation/grant-funding/building-resilient-infrastructure-and-communities,"Local governments, Tribes, and eligible entities submit through MEMA",Natural-hazard nexus required,Local entities do not apply directly to FEMA. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-MONTANA,Montana,Disaster Resilience,Disaster-triggered,State schedule generally follows a declaration,https://des.mt.gov/Grant-Programs/HMGP,"State, local, Tribal, and eligible nonprofit subapplicants submit through Montana DES",Natural-hazard nexus required,The normal federal share is 75% with a 25% nonfederal share. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-NEVADA,Nevada,Disaster Resilience,Recurring and disaster-triggered,Program-specific state notices,https://www.oem.nv.gov/grants-management/recovery-and-mitigation-grants/,"Eligible state, local, Tribal, and nonprofit subapplicants coordinate through Nevada DEM",Natural-hazard nexus required,Annual and disaster-triggered programs have separate cycles. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-NEW-HAMPSHIRE,New Hampshire,Disaster Resilience,Current cycle uncertain,No verified current deadline,https://www.dos.nh.gov/divisions/homeland-security-and-emergency-management,Municipalities and eligible governmental entities submit a letter of intent to HSEM,Natural-hazard nexus required,The official agency surface confirms administration but not a current cycle. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-NEW-JERSEY,New Jersey,Disaster Resilience,Official page is stale,No verified 2026 deadline,https://www.nj.gov/njoem/mitigation/index.shtml,Local governments and eligible subapplicants coordinate through NJOEM and applicable grant systems,Natural-hazard nexus required,Do not infer current availability from the page's older deadlines. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-NEW-MEXICO,New Mexico,Disaster Resilience,Disaster-triggered,State notices follow qualifying declarations,https://www.dhsem.nm.gov/recovery/hazard-mitigation-grant-program-hmgp/,"Local, municipal, Tribal, state, quasi-governmental, and eligible nonprofit applicants submit through DHSEM",Natural-hazard nexus required,Projects must meet state and FEMA eligibility requirements. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-NEW-YORK,New York,Disaster Resilience,Current opportunities page is incomplete or stale,No reliable general 2026 deadline posted,https://www.dhses.ny.gov/current-hazard-mitigation-funding-opportunities,Eligible governmental and Tribal subapplicants work through DHSES,Natural-hazard nexus required,Contact DHSES before relying on availability. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-NORTH-CAROLINA,North Carolina,Disaster Resilience,FY2024/25 BRIC round closed,LOI closed 2026-06-12; subapplication closed 2026-07-10,https://www.ncdps.gov/our-organization/emergency-management/hazard-mitigation/non-disaster-grants/notice-funding-availability-bric-fy24-25,Local governments and Tribal Nations submit through NC Emergency Management,Natural-hazard nexus required,The state round is closed. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-NORTHERN-MARIANA-ISLANDS,Northern Mariana Islands,Disaster Resilience,Disaster-triggered and active program administration,Declaration- and program-specific,https://opd.gov.mp/library/agency/hazard-mitigation-grant-program.html,CNMI agencies and eligible subapplicants coordinate through the territorial HMGP office,Natural-hazard nexus required,"The official library and FY2025 reporting establish program administration, not a standing open call. Transportation work must have a documented natural-hazard mitigation purpose."
RERC-FND-2026-HMA-OKLAHOMA,Oklahoma,Disaster Resilience,HMGP and FMA rounds closed,HMGP: no open opportunities; FMA closed 2026-07-24,https://oklahoma.gov/oem/programs-and-services/mitigation.html,Local governments and Tribal Nations submit through OEM,Natural-hazard nexus required,Portal registration is not an open funding call. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-OREGON,Oregon,Disaster Resilience,FY2024 FMA preapplication round closed,Preapplications closed 2026-06-12,https://www.oregon.gov/oem/emresources/grants/pages/hma.aspx,"Local governments, special districts, and Tribal governments submit through Oregon OEM",Natural-hazard nexus required,Approved mitigation-plan requirements apply. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-PENNSYLVANIA,Pennsylvania,Disaster Resilience,FY2024/25 BRIC round closed,LOI closed 2026-04-24; state application closed 2026-06-19,https://www.pa.gov/services/pema/resilient-infrastructure-grant,Local governments and eligible organizations submit through PEMA,Natural-hazard nexus required,Year-round idea intake is not an open award cycle. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-PUERTO-RICO,Puerto Rico,Disaster Resilience,Active match support for eligible HMGP projects,Disaster- and project-specific,https://recuperacion.pr.gov/en/hazard-mitigation-grant-program/,"Municipalities, Puerto Rico agencies, and eligible community or nonprofit partners coordinate through Puerto Rico's recovery programs",Natural-hazard nexus required,CDBG-MIT may provide the nonfederal share for eligible HMGP projects. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-RHODE-ISLAND,Rhode Island,Disaster Resilience,FY2024/25 BRIC round closed,Project notice closed 2026-06-01; FEMA GO subapplication closed 2026-06-15,https://riema.ri.gov/planning-branch/hazard-mitigation/building-resilient-infrastructure-and-communities-bric-grant,Municipalities and eligible subapplicants submit through RIEMA,Natural-hazard nexus required,"The official page includes hazard-resilient road, bridge, and evacuation-route work. Transportation work must have a documented natural-hazard mitigation purpose."
RERC-FND-2026-HMA-SOUTH-CAROLINA,South Carolina,Disaster Resilience,Disaster-specific opportunities; current closing dates uncertain,Declaration-specific,https://www.scemd.org/recover/mitigation/,"State and local governments, Tribes, and eligible nonprofits submit through SCEMD",Natural-hazard nexus required,Do not infer that every listed disaster intake remains open. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-TENNESSEE,Tennessee,Disaster Resilience,Program active; current deadline uncertain,Annual or declaration-specific,https://www.tn.gov/tema/emergency-community/mitigation/mitigation-grant-programs.html,Eligible subapplicants use the state preapplication or State Hazard Mitigation Office route,Natural-hazard nexus required,The umbrella page does not publish a 2026 deadline. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-TEXAS,Texas,Disaster Resilience,Opportunity-specific; FY2024 FMA closed,FMA closed 2026-06-25; other deadlines vary,https://www.tdem.texas.gov/mitigation/hazard-mitigation-section,Local jurisdictions work through TDEM; FMA is administered through TWDB,Natural-hazard nexus required,There is no standing direct-grant window. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-US-VIRGIN-ISLANDS,U.S. Virgin Islands,Disaster Resilience,Program administration active; current cycle uncertain,Disaster- and program-specific,https://vitema.vi.gov/about-us/divisions/,Territorial agencies and eligible subapplicants coordinate with VITEMA Grants Management,Natural-hazard nexus required,The current agency page confirms grant administration but not an open HMGP deadline. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-UTAH,Utah,Disaster Resilience,Disaster-triggered and recurring,Program-specific state notices,https://hazards.utah.gov/services/,"State and local governments, Tribes, and eligible nonprofits coordinate through Utah DEM",Natural-hazard nexus required,Utah administers FEMA HMA but does not provide a standing state mitigation fund. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-VERMONT,Vermont,Disaster Resilience,Official page may be stale; future ideas accepted,No verified current award deadline,https://vem.vermont.gov/funding/mitigation,"Municipalities, state agencies, regional planning commissions, and eligible public entities submit a VEM preapplication",Natural-hazard nexus required,Confirm current federal program status with VEM. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-VIRGINIA,Virginia,Disaster Resilience,Open-opportunities page lists HMGP and FMA; deadline not shown,Confirm deadline with VDEM,https://vdem.virginia.gov/divisions/finance/grants/hazard-mitigation-assistance-grant-programs/,"Cities, counties, towns, planning districts, state agencies, and Tribal governments apply through VDEM",Natural-hazard nexus required,The official page supports availability but omits the closing date. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-WEST-VIRGINIA,West Virginia,Disaster Resilience,Current cycle uncertain,No current deadline posted,https://emd.wv.gov/,Local jurisdictions coordinate with WVEMD Recovery Grants,Natural-hazard nexus required,Do not assume a current competitive cycle or state match without confirmation. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HMA-WYOMING,Wyoming,Disaster Resilience,Most recent extension closed; notices of interest accepted,Extension closed 2026-06-23; future ideas may be submitted,https://hls.wyo.gov/grants/hma,"Eligible state, local, Tribal, and nonprofit subapplicants coordinate through Wyoming HLS",Natural-hazard nexus required,A notice of interest does not guarantee an open award cycle. Transportation work must have a documented natural-hazard mitigation purpose.
RERC-FND-2026-HSIP-ALABAMA,Alabama,Roadway Safety,Active; application materials published,Deadline not stated,https://www.dot.state.al.us/programs/HSIP.html,Counties and cities use ALDOT's HSIP application and safety portal,Conditional,Guardrail must respond to a qualifying safety problem supported by analysis. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-ALASKA,Alaska,Roadway Safety,Ongoing state program,Continuous programming,https://dot.alaska.gov/stwddes/dcstraffic/hsip.shtml,DOT regions identify and program data-driven safety projects,Conditional,Alaska DOT also publishes a Central Region guardrail inventory and upgrade program. Guardrail fit: Yes.
RERC-FND-2026-HSIP-ARIZONA,Arizona,Roadway Safety,Ongoing state program,Continuous programming,https://azdot.gov/planning/traffic-safety/strategic-highway-safety-plan,State and local partners coordinate through ADOT safety planning,Conditional,The state plan includes guardrail and cable-barrier countermeasures. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-ARKANSAS,Arkansas,Roadway Safety,Current local HSIP intake uncertain,No verified current deadline,https://ardot.gov/divisions/local-programs/,Local agencies should confirm the HSIP route with ARDOT Local Programs,Conditional,An official federal report documented guardrail work but not a current local call. Guardrail fit: Conditional.
RERC-FND-2026-HSIP-CALIFORNIA,California,Roadway Safety,Cycle 13 open,Due 2026-11-02,https://dot.ca.gov/programs/local-assistance/fed-and-state-programs/highway-safety-improvement-program/apply-now,Eligible local agencies apply through Caltrans Local Assistance; an LRSP is required,Conditional,Projects must meet the active call's safety and eligibility criteria. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-COLORADO,Colorado,Roadway Safety,FY2029 review complete; next cycle upcoming,FY2030 local-agency cycle expected to begin in December 2026,https://www.codot.gov/safety/traffic-safety/data-analysis/hsip,Eligible local and Tribal public-road agencies submit under CDOT's call,Conditional,The current program page covers all public roads and announces the next local-agency cycle. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-CONNECTICUT,Connecticut,Roadway Safety,Active FFY2026 program,Continuous programming; no statewide call located,https://portal.ct.gov/dot/traffic-engineering/traffic-and-safety-engineering,Municipalities coordinate with CTDOT Safety Engineering and may request a road-safety audit,Conditional,CTDOT selects projects on state and local public roads. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-DELAWARE,Delaware,Roadway Safety,Active annual identification program,Annual internal programming,https://projectdevelopmentmanualtest.deldot.gov/index.php/Chapter_2_-_Project_Origination_and_Planning,DelDOT Traffic Engineering screens and programs projects,Conditional,The official manual expressly lists guardrail installation or enhancement. Guardrail fit: Yes.
RERC-FND-2026-HSIP-DISTRICT-OF-COLUMBIA,District of Columbia,Roadway Safety,Active internal capital program,Continuous internal programming,https://ddot.dc.gov/page/traffic-safety-ddot,DDOT identifies and programs projects; public safety reports are not grant applications,Conditional,No direct external infrastructure-grant path was found. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-FLORIDA,Florida,Roadway Safety,Active through Florida GAP,District and program cycles vary,https://www.fdot.gov/fpo/lp/flgap/home,Eligible local agencies register and apply through Florida GAP,Conditional,Guardrail needs crash or risk support and district coordination. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-GEORGIA,Georgia,Roadway Safety,Ongoing subject to annual availability,Timing varies,https://www.dot.ga.gov/PartnerSmart/Public/Documents/LocalGovernmentManual.pdf,Local governments coordinate with GDOT district Off-System Coordinators,Conditional,GDOT invests HSIP funds on local roads through state-local agreements. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-HAWAII,Hawaii,Roadway Safety,Ongoing state program,Continuous STIP programming,https://hidot.hawaii.gov/highways/shsp/,HDOT programs safety improvements on public roads,Conditional,"Guardrail projects appear in state programming, but no direct local grant call was found. Guardrail fit: Yes - conditional."
RERC-FND-2026-HSIP-IDAHO,Idaho,Roadway Safety,Ongoing state and local programming,Continuous ITIP programming,https://apps.itd.idaho.gov/Apps/Fund/itip2024/FY24-ITIP.pdf,Local agencies coordinate through ITD and Local Highway Technical Assistance Council,Conditional,Official programming includes local HSIP and guardrail projects. Guardrail fit: Yes.
RERC-FND-2026-HSIP-KENTUCKY,Kentucky,Roadway Safety,Ongoing state program,Continuous programming,https://transportation.ky.gov/TrafficOperations/Pages/Highway-Safety-Improvement-Program.aspx,Local agencies coordinate with KYTC districts and Traffic Operations,Conditional,Roadway departure is an explicit HSIP investment category. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-LOUISIANA,Louisiana,Roadway Safety,Active program,Ongoing as funding becomes available,https://dotd.la.gov/about/office-of-project-delivery/planning/highway-safety/highway-safety-improvement-program/,Local agencies initiate proposals through DOTD districts or Regional Safety Coalitions,Conditional,Lane departure is an explicit emphasis area. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-MAINE,Maine,Roadway Safety,Ongoing through STIP,Project-specific availability,https://www.maine.gov/dot/sites/maine.gov.dot/files/inline-files/2024-2027%20Statewide%20Transportation%20Improvement%20Program.pdf,Projects are programmed through MaineDOT and regional or local transportation processes,Conditional,The official STIP includes obsolete cable guardrail replacement with HSIP funds. Guardrail fit: Yes.
RERC-FND-2026-HSIP-MARYLAND,Maryland,Roadway Safety,Active local fund program; current solicitation date uncertain,Historically annual; confirm current date,https://roads.maryland.gov/mdotsha/pages/pressreleasedetails.aspx?PageId=818&newsId=4157,Counties with a Local Road Safety Plan submit systemic projects to MDOT SHA,Conditional,"The located state notice is older, so current timing requires confirmation. Guardrail fit: Yes - conditional."
RERC-FND-2026-HSIP-MASSACHUSETTS,Massachusetts,Roadway Safety,Active and programmed,Continuous TIP and STIP programming,https://www.mass.gov/info-details/highway-safety-improvement-program,Municipal projects advance through MPO prioritization and MassDOT safety review,Conditional,Routine replacement alone may not meet HSIP's data-driven criteria. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-MISSISSIPPI,Mississippi,Roadway Safety,Current application path uncertain,No verified current deadline,https://mdot.ms.gov/documents/Planning/Manuals/LTAP/Highway%20Safety%20Improvement%20Program.pdf,Local agencies should confirm the current route with MDOT Planning or Traffic Engineering,Conditional,The official manual is older and does not prove a current local call. Guardrail fit: Conditional.
RERC-FND-2026-HSIP-MONTANA,Montana,Roadway Safety,Ongoing state and local program,Continuous programming,https://www.mdt.mt.gov/pubinvolve/us191/docs/US191-Appendix5-Funding.pdf,Local road agencies coordinate applications with MDT,Conditional,Official guidance identifies HSIP on any public road and includes guardrail. Guardrail fit: Yes.
RERC-FND-2026-HSIP-NEVADA,Nevada,Roadway Safety,2025 local cycle closed,Monitor for the next cycle,https://www.dot.nv.gov/safety/traffic-safety-engineering/highways-safety-improvement-program-hsip/hsip-local-infrastructure-safety-program,"Local governments, counties, Tribes, and planning agencies use the state local-safety process",Conditional,The official page expressly includes guardrails and barriers. Guardrail fit: Yes.
RERC-FND-2026-HSIP-NEW-HAMPSHIRE,New Hampshire,Roadway Safety,Ongoing; current schedule uncertain,Road-safety-audit requests may be accepted outside a formal call; confirm with NHDOT,https://www.dot.nh.gov/about-nh-dot/divisions-bureaus-districts/highway-design/safety-section/highway-safety-improvement,Local agencies coordinate with NHDOT Safety and regional planning commissions,Conditional,The page was access-restricted during review; direct availability needs confirmation. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-NEW-JERSEY,New Jersey,Roadway Safety,Active annual program,Dates vary by MPO,https://nj.gov/transportation/about/safety/hsip.shtm,Counties and municipalities submit candidate projects through their MPO,Conditional,The official program provides a direct local-government pathway. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-NEW-MEXICO,New Mexico,Roadway Safety,Ongoing state program,Continuous programming,https://www.dot.nm.gov/target-zero/,Local partners coordinate safety projects through NMDOT and regional planning channels,Conditional,The public page does not provide a direct local application deadline. Guardrail fit: Yes - conditional.
RERC-FND-2026-HSIP-NEW-YORK,New York,Roadway Safety,Active state-administered program,Continuous TIP and STIP programming,https://www.dot.ny.gov/divisions/operating/osss/highway-repository/RedBook.pdf,Local sponsors coordinate with NYSDOT regions and MPOs,Conditional,The official Red Book discusses guardrail and appropriate funding use. Guardrail fit: Yes.
RERC-FND-2026-HSIP-NORTH-CAROLINA,North Carolina,Roadway Safety,Ongoing data-driven program,Continuous; no direct local grant deadline located,https://www.ncdot.gov/initiatives-policies/safety/traffic-safety/Pages/identifying-areas-improvements.aspx,Local agencies submit safety concerns and coordinate with NCDOT divisions,Conditional,Engineering review must support a fatal- or serious-injury reduction benefit. Guardrail fit: Yes - conditional.
