Type,Title,Organization,Status,Availability or Year,Geography,Covered States,Coverage Note,Coverage Source URL,Community,Community Type,Best For,Project Stage,Type of Help,Topics,Summary,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Funding,Grantmaking Programs,Alaska Conservation Foundation,Open when checked,"Cycles vary by Rapid Response, Discovery, Watchable Wildlife, and other programs",Alaska,,,,,,Alaska conservation organizations and eligible partners,Mixed,Grant,conservation; wildlife; environmental stewardship; grassroots capacity,Conservation capacity and wildlife stewardship directly support nature-based tourism and outdoor recreation assets.,Varies by program,Not stated,https://alaskaconservation.org/community-resources/grant-opportunities,2026-06-09,RERC-FND-0016
Funding,Land and Water Conservation Fund,Alaska DNR Division of Parks and Outdoor Recreation,Recurring,Application period 2026-08-14 to 2026-10-31,Alaska,,,,,,Local; regional; state entities with legal authority for outdoor recreation,Mixed,Grant,parks; outdoor recreation; acquisition; facilities,Funds parks and recreation facilities that serve residents and visitors.,Varies,Unsure,https://dnr.alaska.gov/parks/grants/lwcf.htm,2026-06-09,RERC-FND-0018
Funding,DEC Brownfields Assessment and Cleanup Program,Alaska Department of Environmental Conservation,Recurring,Check with the program,Alaska,,,,,,"public, quasi-public or non-profit entities such as municipalities, tribal governments, native corporations and community development organizations",Planning,Grant,Planning; Conservation; Brownfields; Energy/Climate,"Aid in the development of brownfields inventories, as well as conducting environmental assessments, and creating cleanup and reuse plans.",See program,See program,https://www.epa.gov/brownfields,2026-06-09,RERC-FND-0013
Funding,Historic Preservation Fund,Alaska Department of Natural Resources Division of Parks and Outdoor Recreation,Recurring,Check with the program,Alaska,,,,,,local governments that are certified through the Alaska State Historic Preservation Officer,Mixed,Grant,Recreation; Conservation; Historic/Cultural; Energy/Climate,"Helps eligible local governments identify, evaluate, and protect historic properties in Alaska.",See program,"Yes, 40%",https://dnr.alaska.gov/parks/grants/index.htm,2026-06-09,RERC-FND-0017
Funding,Recreation Trails Program,Alaska Department of Natural Resources Division of Parks and Outdoor Recreation,Recurring,Check with the program,Alaska,,,,,,"non-profit organizations, educational institutions, state, local and federal government entities, native corporations, and tribal governments",Construction,Grant,Recreation; Conservation; Energy/Climate,Develops and repairs recreational trails and trail facilities for motorized and non-motorized use.,See program,See program,https://www.fhwa.dot.gov/environment/recreational_trails,2026-06-09,RERC-FND-0021
Funding,Snowmachine Grant Program,Alaska Department of Natural Resources Division of Parks and Outdoor Recreation,Recurring,Check with the program,Alaska,,,,,,Eligibility varies by opportunity; review the current program page.,Mixed,Grant,Recreation; Conservation,Offers potential funding for eligible snowmachine recreation projects in Alaska. Check current program information for eligible work and cycle details.,See program,See program,https://dnr.alaska.gov/parks/grants/index.htm,2026-06-09,RERC-FND-0024
Funding,Renewable Energy Village Energy Efficiency Program,Alaska Energy Authority,Recurring,"Third RFA applications due February 27, 2026",Alaska,,,,,,Qualified applicants for public buildings and facilities in rural Alaska,Mixed,Grant,renewable energy; energy efficiency; public facilities; cost reduction,"Lowers costs for rural public facilities that support recreation programming, visitor services, and community gatherings.",Not stated in public notice,Not stated,https://aws.state.ak.us/OnlinePublicNotices/Notices/View.aspx?id=222124,2026-06-09,RERC-FND-0022
Funding,Energy Efficiency Revolving Loan Program for Public Facilities,Alaska Housing Finance Corporation,Open when checked,Ongoing loan program,Alaska,,,,,,"Municipalities, state, University of Alaska, and regional educational attendance areas",Mixed,Loan,energy efficiency; public buildings; operating cost reduction,"Helps public recreation, community, and visitor-serving facilities reduce energy burdens in high-cost Alaska communities.",Loan financing based on investment-grade audit; amount varies,Repaid from guaranteed savings,https://www.ahfc.us/efficiency/non-residential-buildings/energy-efficiency-revolving-loan-fund-aeerlp,2026-06-09,RERC-FND-0015
Funding,Community Challenge Grant Program,Anchorage Park Foundation with Anchorage Parks and Recreation and Rasmuson Foundation,Cycle closed,Offered every two years; 2026 round closed and awarded May 2026,Alaska,,,,,,"Neighborhood volunteers, community groups, and public-land partners",Mixed,Grant,parks; trails; outdoor access; stewardship,Funds community-led park and trail improvements that can strengthen visitor access and local recreation stewardship.,"2026 round awarded $311,000 to 14 projects",None,https://anchorageparkfoundation.org/grants,2026-06-09,RERC-FND-0634
Funding,EV Charging Incentive Programs,Chugach Electric Association,Open when checked,Ongoing program; 2026 public fast-charging expansion noted,Alaska,,,,,,Individuals and businesses installing eligible EV charging,Mixed,Rebate,EV charging; mobility; visitor infrastructure,"Supports EV-ready gateway corridors, trailheads, workplaces, fleets, and public charging for visitors.",Bill credit; amount varies by incentive,Customer cost-share inherent,https://www.chugachelectric.com/energy-solutions/electric-vehicles,2026-06-09,RERC-FND-0014
Funding,Alaska Forest Fund,National Forest Foundation with Forest Service and partners,Open when checked,Ongoing fund and partnership model,Alaska,,,,,,"Nonprofit partners, local contractors, and rural communities adjacent to National Forests",Mixed,Grant,forest stewardship; restoration; recreation access; rural contractors,"Helps rural communities near national forests capture stewardship, restoration, and recreation-economy benefits.",Varies,Not stated,https://www.nationalforests.org/regional-programs/pnwprogram/alaska-forest-fund,2026-06-09,RERC-FND-0012
Funding,Rasmuson Foundation Tier 1 and Community Support Grants,Rasmuson Foundation,Open when checked,Apply today; ongoing foundation cycles,Alaska,,,,,,Eligible Alaska organizations,Construction,Grant,capital; park improvements; equipment; community centers,"Funds practical community assets, including park improvements and equipment.","Tier 1 up to $35,000; Community Support up to $250,000",Varies,https://rasmuson.org/find-funding,2026-06-09,RERC-FND-0020
Funding,Rural Alaska Community Grants,RurAL CAP Foundation,Open when checked,2026 deadlines April 30 and November 30,Alaska,,,,,,Rural Alaska nonprofits and governmental agencies,Mixed,Grant,rural community development; culture; leadership; well-being,"Flexible small grants can close gaps for rural recreation programming, cultural tourism, volunteer projects, and community well-being.",Small grants; amount not stated on source page,Not stated,https://www.ruralcapfoundation.org/,2026-06-09,RERC-FND-0023
Funding,American Samoa SSBCI 2.0,American Samoa Department of Commerce,Open when checked,Check DOC and AS-SBDC materials for current borrower and lender requirements.,American Samoa,,,,,,American Samoa small businesses and participating lenders or technical assistance partners listed by the program.,Implementation,Financing,SSBCI; small business; access to capital; technical assistance; entrepreneurship,"Supports small business access to capital, credit support, and technical assistance in American Samoa.","Treasury approved up to $57,000,000; technical assistance grant listed at $470,304.",See program,https://www.doc.as.gov/ssbci,2026-06-24,RERC-FND-0025
Funding,Festival Grants,Arizona Commission on the Arts,Recurring,FY2027 closed; FY2028 opens early 2027,Arizona,,,,,,Arizona nonprofits; local governments; tribal governments; local arts agencies,Implementation,Grant,festivals; arts; culture; marketing; accessibility,Cultural festivals add visitor reasons beyond trails and parks.,"$1,000-$5,000",No cash match required,https://azarts.gov/grant/festival,2026-06-09,RERC-FND-0028
Funding,AZ SMART Fund,Arizona Department of Transportation,Open when checked,Rolling through State Transportation Board approvals,Arizona,,,,,,Cities; towns; counties; ADOT,Mixed,Grant,trails; bike-ped paths; roads; bridges; transit; federal leverage,Helps rural communities compete for larger trail and access grants.,Varies by federal grant need,Supports match for federal discretionary grants,https://azdot.gov/planning/grant-coordination/az-smart-fund,2026-06-09,RERC-FND-0026
Funding,Play Ball Fund Grant Program,Arizona Diamondbacks Foundation and Arizona Complete Health,Open when checked,"Applications considered April-September; entry closes August 31, 2026",Arizona,,,,,,"Arizona youth teams, leagues, and organizations",Mixed,Grant,youth sports; recreation access; equipment; facility upgrades,"Small but practical source for youth recreation access, local sports facilities, and community recreation programming.","Up to $1,000; $90,000 total in 2026 season",None stated,https://www.mlb.com/dbacks/community/youth-sports/play-ball-fund,2026-06-09,RERC-FND-0033
Funding,State Lake Improvement Fund,Arizona State Parks Board,Recurring,Recurring,Arizona,,,,,,Arizona Game and Fish; counties; cities; towns,Mixed,Grant,boat launches; water access; support facilities; safety,Helps lake-based rural destinations improve visitor infrastructure.,"$5,000-$1,040,000 per project",Unsure,https://azstateparks.com/grants,2026-06-09,RERC-FND-0035
Funding,Land and Water Conservation Fund,Arizona State Parks and Trails,Recurring,Recurring state parks grant cycle,Arizona,,,,,,Cities; towns; counties; tribal governments; state and federal agencies,Mixed,Grant,parks; acquisition; playgrounds; pools; splash pads; ADA,Builds public recreation facilities in rural and tribal destinations.,Variable,50% typical LWCF match,https://azstateparks.com/grants,2026-06-09,RERC-FND-0029
Funding,Off-Highway Vehicle Fund Grants,Arizona State Parks and Trails,Open when checked,Current application materials posted through AZParkGrants,Arizona,,,,,,"Federal, state, county, and local governments, and nonprofits",Mixed,Grant,OHV trails; trail maintenance; facilities; stewardship; safety,Funds motorized recreation infrastructure and stewardship that can drive rural visitor spending.,"$4,000,000 available",Not stated on page,https://azstateparks.com/off-highway-vehicle-fund-grants,2026-06-09,RERC-FND-0030
Funding,Off-Highway Vehicle Recreation Fund,Arizona State Parks and Trails,Recurring,Recurring,Arizona,,,,,,Governments; tribes; nonprofits; clubs; law enforcement for LE grants,Mixed,Grant,OHV trails; facilities; law enforcement; signage; education,Supports managed motorized recreation in rural gateway areas.,"About $2M annually; small scale up to $100,000; signage up to $10,000",Unsure,https://azstateparks.com/grants,2026-06-09,RERC-FND-0031
Funding,Recreational Trails Program,Arizona State Parks and Trails,Open when checked,Reauthorized through federal FY2026,Arizona,,,,,,Nonprofits; clubs; local; regional; state; federal; tribal governments,Construction,Grant,motorized trails; nonmotorized trails; trailheads; accessibility; education,Direct source for trail systems that drive outdoor recreation visits.,About $2M available statewide,Unsure,https://azstateparks.com/grants,2026-06-09,RERC-FND-0034
Funding,Comunidad Grants,Community Foundation for Southern Arizona,Recurring,2026 grants funded in June 2026,Arizona,,,,,,Eligible nonprofits and charitable organizations,Mixed,Grant,rural communities; nonprofit capacity; community benefit,Useful for rural southern Arizona communities needing small flexible funds for recreation-linked community projects.,Varies,Not stated,https://cfsaz.org/grants/comunidad-grants,2026-06-09,RERC-FND-0027
Funding,POWER Grants,Trico Electric Cooperative Charitable Trust,Recurring,Fall 2026 opens September 2026,Arizona,,,,,,501(c)(3) nonprofits serving significant numbers in Trico territory,Implementation,Grant,"nonprofits, education, arts, childcare, community services","Can support rural nonprofit projects tied to public spaces, youth, arts, and visitor community vitality.","Up to $10,000 per nonprofit",No match stated,https://trico.coop/community/grants,2026-06-09,RERC-FND-0032
Funding,Giving Tree Grants,Arkansas Community Foundation,Recurring,"January 10-February 15, 2026 cycle listed",Arkansas,,,,,,"501(c)(3) public charities, schools, hospitals, and government agencies serving eligible counties",Mixed,Grant,local needs; nonprofit capacity; community improvement,"Flexible local grants can support recreation events, trail groups, placemaking, and small nonprofit capacity.",Average grant size varies by affiliate,Not stated,https://www.arcf.org/apply-for-giving-tree-grants,2026-06-09,RERC-FND-0039
Funding,Urban and Community Forestry Grants / Free Tree Fridays,Arkansas Department of Agriculture Forestry Division,Recurring,2026 Free Tree Fridays wrapped; forestry grant program recurring,Arkansas,,,,,,Local governments; community partners; residents for tree distribution,Mixed,Grant,tree planting; canopy; green infrastructure; education,"Improves shade, downtown comfort, and trail corridor appearance.",Unsure,Unsure,https://www.fs.usda.gov/managing-land/urban-forests/ucf,2026-06-09,RERC-FND-0049
Funding,FUN Park Grants,"Arkansas Department of Parks, Heritage and Tourism Office of Outdoor Recreation",Open when checked,Opens 2026-05-01; due 2026-08-28,Arkansas,,,,,,"Municipalities under 7,500; unincorporated communities sponsored by counties",Construction,Grant,parks; playgrounds; outdoor facilities; underserved communities,Strong fit for small RERC-type towns needing first recreation assets.,"Up to $100,000",No match,https://adpht.arkansas.gov/office-of-outdoor-recreation/arkansas-outdoor-grants,2026-06-09,RERC-FND-0038
Funding,Great Strides Program,"Arkansas Department of Parks, Heritage and Tourism Office of Outdoor Recreation",Open when checked,Opens 2026-03-09; due 2026-06-30,Arkansas,,,,,,Arkansas public applicants under program rules,Construction,Grant,walking trails; trail renovation; signs; markings,Funds walkable trail assets tied to health and recreation.,Unsure,Unsure,https://adpht.arkansas.gov/office-of-outdoor-recreation/arkansas-outdoor-grants,2026-06-09,RERC-FND-0040
Funding,Outdoor Recreation Matching Grants,"Arkansas Department of Parks, Heritage and Tourism Office of Outdoor Recreation",Open when checked,Opens 2026-05-01; due 2026-08-28,Arkansas,,,,,,Arkansas municipalities and counties,Mixed,Grant,parks; outdoor recreation facilities; land acquisition,"Major source for rural parks, trailheads, and recreation facilities.",No maximum stated,50%,https://adpht.arkansas.gov/office-of-outdoor-recreation/arkansas-outdoor-grants,2026-06-09,RERC-FND-0044
Funding,Recreational Trails Program,Arkansas Department of Transportation,Recurring,2026 nonmotorized due 2026-04-30; motorized reviewed rolling,Arkansas,,,,,,Local public agencies and eligible sponsors,Construction,Grant,motorized trails; nonmotorized trails; trailheads; linkages,Direct trail funding for rural outdoor recreation economies.,Varies,Unsure,https://www.fhwa.dot.gov/environment/recreational_trails,2026-06-09,RERC-FND-0045
Funding,Transportation Alternatives Program,Arkansas Department of Transportation,Recurring,2026 applications due 2026-04-30; recurring,Arkansas,,,,,,Local public agencies,Mixed,Grant,sidewalks; bike-ped infrastructure; trails; Safe Routes,"Builds active transportation links between downtowns, trails, and parks.",Varies,Minimum 20% local,https://www.fhwa.dot.gov/environment/transportation_alternatives,2026-06-09,RERC-FND-0048
Funding,Rural Community Grant Program,Arkansas Economic Development Commission Division of Rural Services,Recurring,FY2026 deadline was 2026-03-12; recurring,Arkansas,,,,,,Rural Arkansas communities,Construction,Grant,community facilities; parks; recreation; museums; beautification,"Small gap funding for parks, museums, and civic visitor assets.","Up to $15,000 typical",Local match required,https://www.arkansasedc.com/Rural-Services/division/grants,2026-06-09,RERC-FND-0046
Funding,Rural Services Block Grants,Arkansas Economic Development Commission Division of Rural Services,Available,Recurring; check AEDC deadlines calendar,Arkansas,,,,,,Rural local governments and eligible rural sponsors,Construction,Grant,community facilities; public safety; quality of life,Helps small towns cover practical facility gaps around recreation growth.,Unsure,None,https://www.arkansasedc.com/Rural-Services/division/grants,2026-06-09,RERC-FND-0635
Funding,Community Grant Program,Arkansas Farm Bureau Foundation,Cycle closed,"2025-2026 applications opened November 3, 2025 and closed January 15, 2026; funding issued by March 31, 2026",Arkansas,,,,,,Arkansas nonprofits and tax-exempt entities,Implementation,Grant,rural communities; agriculture; community ties,"Rural community grants can support local amenities, fairs, agri-tourism links, and recreation-adjacent community projects.",Not stated on source page,Not stated,https://www.arfb.com/pages/foundation/arfb-foundation-grant-recipients,2026-06-09,RERC-FND-0036
Funding,Entergy Solutions for Arkansas Businesses,Entergy Arkansas,Open when checked,Ongoing business programs,Arkansas,,,,,,"Entergy Arkansas business customers, including small businesses and agricultural facilities",Mixed,Rebate,energy efficiency; small business; agricultural business; facility upgrades,"Reduces operating costs for outfitters, lodging, food service, visitor centers, and recreation facilities.",Incentives vary by measure and program,Customer cost-share inherent,https://www.entergyarkansas.com/energyefficiency/business,2026-06-09,RERC-FND-0037
Funding,Small Business Energy Solutions,Entergy Arkansas,Open when checked,Ongoing program year,Arkansas,,,,,,Entergy Arkansas small business customers under 100 kW peak demand,Mixed,Rebate,"lighting, refrigeration, HVAC, insulation, small business",Rural downtown businesses and visitor-serving shops can improve comfort and cut bills.,$0.20-$0.35 per kWh saved; some direct install at full cost,Customer share varies,https://www.entergyarkansas.com/energyefficiency/business/small-business,2026-06-09,RERC-FND-0047
Funding,Green Networks Subawards,Metroplan,Cycle closed,The listed funding rounds have been awarded; watch for a future round.,Arkansas,,,,,,"Municipalities, counties, and nonprofit partners",Mixed,Grant,land preservation; land restoration; tree planting; green networks,"Green networks, restored land, and tree planting improve outdoor access, trails, and recreation-quality landscapes.",$15.5 million subaward pool; Round 2 awarded $5.9 million,Varies by subaward,https://metroplan.org/press-release-greennetworks-funding-2026,2026-07-13,RERC-FND-0041
Funding,Home Region Grants,Walton Family Foundation,Recurring,Rolling or invitation-based foundation cycles,Arkansas,,,,,,Nonprofits and public partners aligned with foundation priorities,Mixed,Grant,trails; public space; conservation; economic opportunity; placemaking,"Major private funder for trail, public realm, and regional recreation systems.",Varies,Varies,https://www.waltonfamilyfoundation.org/grants,2026-06-09,RERC-FND-0042
Funding,Home Region and Design Excellence Grants,Walton Family Foundation,Open when checked,Ongoing strategic grantmaking; no unsolicited cycle,Arkansas,,,,,,"Invited nonprofit, government, and partner organizations; unsolicited proposals not accepted",Mixed,Grant,Northwest Arkansas; Mississippi Delta; design; community systems; rivers,"Major regional funder for trails, public realm, design quality, conservation, and recreation-economy systems in Northwest Arkansas.",Varies,Not stated,https://www.waltonfamilyfoundation.org/grants,2026-06-09,RERC-FND-0043
Funding,Grants Program,California Arts Council,Recurring,Check with the program,California,,,,,,Eligibility varies by opportunity; review the current program page.,Mixed,Grant,Historic/Cultural; Energy/Climate,"Ensure every Californian has the opportunity to create, participate, and flourish through the power of artistic expression.","Up to $75,000",varies by grant,https://arts.ca.gov/grants,2026-06-09,RERC-FND-0056
Funding,"Funding, Grants, Easements",California Department of Conservation,Recurring,Check with the program,California,,,,,,Eligibility varies by opportunity; review the current program page.,Mixed,Grant,Conservation,"Lists funding, grants, and easement programs that help conserve California agricultural land.",varies by grant,varies by grant,https://www.conservation.ca.gov/dlrp/grant-programs,2026-06-09,RERC-FND-0055
Funding,Grants Program,California Department of FIsh and WIldlife,Recurring,Check with the program,California,,,,,,Eligibility varies by opportunity; review the current program page.,Mixed,Grant,General Community Development,"Offers potential funding related to general community development. Check current program information for eligible applicants, activities, and timing.",varies by grant,varies by grant,https://wildlife.ca.gov/Grants,2026-06-09,RERC-FND-0057
Funding,Division of Boating and Waterways,California Department of Parks and Recreation,Recurring,Check with the program,California,,,,,,Eligibility varies by opportunity; review the current program page.,Construction,Grant,Infrastructure; Recreation,"Enhance recreational boating infrastructure and safety statewide from Mission Bay to Lake Shasta and many lakes, rivers, and streams in between.",varies by grant,varies by grant,https://parks.ca.gov/?page_id=1008,2026-06-09,RERC-FND-0053
Funding,Office of Grants and Local Services,California Department of Parks and Recreation,Recurring,Check with the program,California,,,,,,Eligibility varies by opportunity; review the current program page.,Mixed,Grant,Recreation,"Offers potential funding related to recreation. Check current program information for eligible applicants, activities, and timing.",varies by grant,varies by grant,https://parks.ca.gov/?page_id=1008,2026-06-09,RERC-FND-0061
Funding,Certified Local Government Grant Program,California Office of Historic Preservation,Recurring,Annual competitive cycle; forms and deadlines are posted during active application periods,California,,,,,,California local governments that participate in the Certified Local Government Program,Planning and implementation,Grant,historic preservation; planning; surveys; local programs,Provides competitive grants to qualified local governments for local historic preservation planning and programs.,Varies by annual allocation,See current program requirements,https://ohp.parks.ca.gov/?page_id=24493,2026-08-05,RERC-FND-0058
Funding,State Coastal Conservancy Grants,California State Coastal Conservancy,Recurring,Rolling board cycles; verify current solicitation,California,,,,,,Public agencies; tribes; nonprofits; eligible coastal partners,Mixed,Grant,coastal access; trails; habitat; waterfronts; climate resilience,"Supports coastal trail towns, access points, and nature-based visitor infrastructure.",Varies,Varies,https://scc.ca.gov/grants,2026-06-09,RERC-FND-0066
Funding,OHMVR Grants and Cooperative Agreements Program,California State Parks Off-Highway Motor Vehicle Recreation Division,Recurring,"2026 final applications due June 1, 2026; intent to award August 3, 2026",California,,,,,,Eligible agencies and organizations supporting managed OHV recreation,Mixed,Grant,OHV recreation; trails; operations; maintenance; safety; restoration,"Supports managed motorized trail systems, rural visitor use, and stewardship in recreation destinations.",Varies,Varies by grant type,https://ohv.parks.ca.gov/?page_id=1164,2026-06-09,RERC-FND-0060
Funding,Land and Water Conservation Fund,California State Parks Office of Grants and Local Services,Recurring,Recurring; virtual workshops listed,California,,,,,,Local governments; tribes; state agencies,Mixed,Grant,parks; outdoor recreation; acquisition; development,Funds local parks and outdoor recreation facilities.,Varies,50% typical LWCF match,https://www.parks.ca.gov/?page_id=21360,2026-06-09,RERC-FND-0059
Funding,Recreational Trails Program,California State Parks Office of Grants and Local Services,Recurring,Next application cycle expected 2026-2027,California,,,,,,Local; state; federal; nonprofit trail sponsors under RTP rules,Mixed,Grant,trails; trailheads; maintenance; motorized and nonmotorized recreation,Core source for trail networks in rural recreation areas.,Varies,Unsure,https://www.parks.ca.gov/?page_id=29752,2026-06-09,RERC-FND-0063
Funding,Statewide Park Development and Community Revitalization Program,California State Parks Office of Grants and Local Services,Recurring,Final guide expected summer 2026; application period opens summer 2026,California,,,,,,Local agencies and eligible community partners under final guide,Mixed,Grant,parks; underserved communities; recreation access; public health,Can create or renovate parks that serve as visitor and resident anchors.,$188.5M program total,Unsure,https://www.parks.ca.gov/NewsRelease/1523,2026-06-09,RERC-FND-0067
Funding,Bike Program,California Transportation Commission,Recurring,Check with the program,California,,,,,,"federal, state, and local transportation agencies",Mixed,Grant,Infrastructure; Recreation,To fully integrate bicycles into all aspects of the California transportation system and to improve safety and convenience for bicyclists on state and local facilities.,Technical Assistance,See program,https://catc.ca.gov/programs/active-transportation-program,2026-06-09,RERC-FND-0052
Funding,Active Transportation Program,California Transportation Commission and Caltrans,Recurring,Recurring ATP cycles,California,,,,,,Local agencies; regional agencies; transit agencies; tribes; nonprofits through eligible sponsors,Mixed,Grant,walking; biking; Safe Routes; trails; active transportation,"Builds bike-ped links connecting downtowns, parks, trailheads, and schools.",Varies by cycle,Varies,https://catc.ca.gov/programs/active-transportation-program,2026-06-09,RERC-FND-0050
Funding,Public Access Program,California Wildlife Conservation Board,Recurring,Check with the program,California,,,,,,"501(c)(3) nonprofit organizations, local governmental agencies, federal agencies, state agencies, and California Native American tribes",Planning,Grant,Recreation; Planning; Conservation,Provides planning and implementation funds to support wildlife-oriented recreation opportunities.,See program,No,https://wcb.ca.gov/Programs,2026-06-09,RERC-FND-0062
Funding,Wildlife Conservation Board Grant Opportunities,California Wildlife Conservation Board,Open when checked,Ongoing project portal and board-meeting award cycles,California,,,,,,"Eligible public agencies, tribes, nonprofits, and conservation partners",Mixed,Grant,habitat protection; restoration; wildlife crossings; public access,"Protects and restores landscapes and public-access assets that support wildlife viewing, trails, and rural nature tourism.",Recent 2026 approvals include $59.6 million and $80.4 million board actions; awards vary,Varies,https://wcb.ca.gov/,2026-06-09,RERC-FND-0068
Funding,Route to Parks Grants,Parks California,Recurring,2026 cycle reported; verify current window,California,,,,,,Community and tribal organizations,Implementation,Grant,park access; community trips; outdoor equity; tribal and community organizations,Helps underserved rural residents and partners connect to state parks and outdoor experiences.,Unsure,Unsure,https://parkscalifornia.org/route-to-parks,2026-06-09,RERC-FND-0064
Funding,Sierra Nevada Conservancy Grants,Sierra Nevada Conservancy,Recurring,Concept proposals for June 2026 board were due 2025-12-01; recurring consultations,California,,,,,,Public agencies; tribes; nonprofits; eligible regional partners,Mixed,Grant,forest health; watershed; wildfire risk; community capacity; recreation landscapes,"Fits rural mountain recreation communities managing forests, watersheds, and access.",Varies,Varies,https://sierranevada.ca.gov/grants,2026-06-09,RERC-FND-0065
